Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
AMAZON COM INC,AWS,AWS,"AWS is listed as a group of similar products and services with net sales reported for 2022, 2023, and 2024.","AWS is included in the breakdown of net sales by groups of similar products and services, which also have similar economic characteristics. The net sales for AWS are reported as $80,096 million in 2022, $90,757 million in 2023, and $107,556 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Advertising services,Advertising services,"Advertising services are a group of similar products and services with similar economic characteristics, as reported in Amazon's net sales.","Advertising services are listed as a distinct group in Amazon's net sales by product and service type. The segment includes programs such as sponsored ads, display, and video advertising, contributing significantly to Amazon's revenue.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Online stores,Online stores,Net sales for Online stores are reported as a group of similar products and services.,"Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows: Online stores generated $220,004 million in 2022, $231,872 million in 2023, and $247,029 million in 2024. These figures represent the Online stores segment.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Physical stores,Physical stores,Physical stores is a group of similar products and services with similar economic characteristics reported by Amazon.,"Physical stores is listed as a distinct group in Amazon's net sales breakdown, with reported sales figures for the years 2022, 2023, and 2024. The segment represents a specific category of Amazon's business operations.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Subscription services,Amazon Prime,Includes annual and monthly fees associated with Amazon Prime memberships.,"Amazon Prime is a subscription service for which Amazon collects annual and monthly fees. It is included in the company's reported subscription services segment, alongside other digital offerings.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,Third-party seller services,Third-party seller services,"Net sales for Third-party seller services are reported for the years 2022, 2023, and 2024.","Net sales by groups of similar products and services, which also have similar economic characteristics, is as follows (in millions): Year Ended December 31, 2022 2023 2024 Net Sales: ... Third-party seller services (3) 117,716 140,053 156,146. This line item represents the revenue generated from third-party seller services over the specified years.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",Family of Apps,Family of Apps,We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Family of Apps (FoA),Family of Apps (FoA),We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",Reality Labs,Reality Labs,We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL).,"We report financial results for two segments: Family of Apps (FoA) and Reality Labs (RL). Currently, we generate substantially all of our revenue from selling advertising placements on our family of apps to marketers, which is reflected in FoA.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,Automotive,GPU,"The GPU was initially used to simulate human imagination, enabling the virtual worlds of video games and films.","The GPU was initially used to simulate human imagination, enabling the virtual worlds of video games and films. Today, it also simulates human intelligence, enabling a deeper understanding of the physical world. Its parallel processing capabilities, supported by thousands of computing cores, are essential for deep learning algorithms.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Automotive,CUDA programming model,"With our introduction of the CUDA programming model in 2006, we opened the parallel processing capabilities of our GPU to a broad range of compute-intensive applications.","With our introduction of the CUDA programming model in 2006, we opened the parallel processing capabilities of our GPU to a broad range of compute-intensive applications, paving the way for new uses in modern computing.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Compute & Networking,Compute & Networking,Compute & Networking is a reportable segment with significant revenue growth.,"Compute & Networking is one of NVIDIA's reportable segments, showing a substantial increase in revenue year over year. For the year ended Jan 26, 2025, this segment generated $116,193 million, up from $47,405 million the previous year.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,Graphics,Graphics,"Graphics is a reportable segment with revenue and operating income reported for the years ended Jan 26, 2025 and Jan 28, 2024.","Graphics is one of NVIDIA's reportable segments. The segment generated $14,304 million in revenue for the year ended Jan 26, 2025, compared to $13,517 million in the prior year, representing a 6% increase. Operating income for the segment was $5,085 million in 2025, down from $5,846 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
Apple Inc.,Mac,Mac,Mac net sales increased during 2025 compared to 2024.,"Mac net sales increased during 2025 compared to 2024. The table shows Mac net sales were $33,708 million in 2025, up 12% from $29,984 million in 2024 and $29,357 million in 2023.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,Services,Services,Services net sales increased during 2025 compared to 2024.,"Services net sales increased during 2025 compared to 2024 in both Japan and the Rest of Asia Pacific. The table shows Services net sales were $109,158 million in 2025, up 14% from $96,169 million in 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,"Wearables, Home and Accessories","Wearables, Home and Accessories","Wearables, Home and Accessories net sales were $35,686 million in 2025, a 4% decrease from 2024.","Wearables, Home and Accessories is a reported net sales category for Apple Inc. In 2025, net sales for this segment were $35,686 million, representing a 4% decrease compared to 2024, when net sales were $37,005 million.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,iPad,iPad net sales increased during 2025 compared to 2024.,"iPad net sales increased during 2025 compared to 2024, as shown in the table of net sales by category. The table lists iPad sales for 2025, 2024, and 2023, showing a 5% increase in 2025 over 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPhone,iPhone,iPhone net sales increased in 2025 compared to 2024 in multiple regions.,"iPhone net sales contributed to overall net sales growth in Japan and the Rest of Asia Pacific during 2025 compared to 2024. The table shows iPhone net sales of $209,586 million in 2025, a 4% increase from 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,More Personal Computing,Windows,The Windows operating system is designed to deliver a more personal computing experience for users.,"The Windows operating system is designed to deliver a more personal computing experience for users by enabling consistency of experience, applications, and information across their devices. Windows OEM revenue is impacted significantly by the number of Windows operating system licenses purchased by OEMs, which they pre-install on the devices they sell.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Surface,"Surface is designed to help organizations, students, and consumers be more productive.","We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories. Surface is designed to help organizations, students, and consumers be more productive.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Copilot+ PCs,"We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories.","We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories. Our devices are designed to enable people and organizations to connect to the people and content that matter most using Windows and integrated Microsoft products and services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,PC accessories,"We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories.","We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories. Our devices are designed to enable people and organizations to connect to the people and content that matter most using Windows and integrated Microsoft products and services.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox,"Xbox enables people to connect and share online gaming experiences that are accessible on Xbox consoles, Windows-enabled devices, and other devices.","Xbox enables people to connect and share online gaming experiences that are accessible on Xbox consoles, Windows-enabled devices, and other devices. Xbox is designed to benefit users by providing access to a network of certified applications and services and to benefit our developer and partner ecosystems by providing access to a large customer base.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox Game Pass,Xbox Game Pass is a subscription service and gaming community with access to a curated library of first- and third-party titles.,"These unique gaming experiences are the cornerstone of Xbox Game Pass, a subscription service and gaming community with access to a curated library of first- and third-party titles. The gamer remains at the heart of the Xbox ecosystem.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox Cloud Gaming,Our gaming platform competes with other console platforms. We believe our gaming platform is effectively po,Xbox and our cloud gaming services face competition from various online gaming ecosystems and game streaming services. We also compete with other providers of entertainment services such as video streaming platforms.,10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Bing,Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.,"Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement, while our technology platform enables accelerated delivery of digital advertising solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Copilot,"Microsoft Copilot is a digital companion designed to inform, entertain, and inspire.","Microsoft Copilot is a digital companion designed to inform, entertain, and inspire. Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Microsoft News,"Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.","Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates. Our Search and news advertising business is designed to deliver relevant search, native, and display advertising to a global audience.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Microsoft Edge,Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.,"Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement, while our technology platform enables accelerated delivery of digital advertising solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Commercial products and cloud services,"Microsoft 365 Commercial products and cloud services include Microsoft 365 Commercial cloud, comprising Microsoft 365 Commercial, Enterprise Mobility + Security, and other related services.","Microsoft 365 Commercial products and cloud services primarily comprise Microsoft 365 Commercial cloud, which includes Microsoft 365 Commercial, Enterprise Mobility + Security, the cloud portion of Windows Commercial, the per-user portion of Power BI, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, and Microsoft 365 Copilot. They also include Microsoft 365 Commercial products, comprising Windows Commercial on-premises and Office licensed on-premises.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services.","Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services. Growth depends on reaching new users, adding value with new features including AI tools, and expanding product and service offerings into new markets.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,LinkedIn,"LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn.","LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn. In addition to LinkedIn’s free services, LinkedIn offers monetized solutions designed to offer AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics provides cloud-based and on-premises business solutions for financial management, ERP, CRM, and supply chain management.","Dynamics provides cloud-based and on-premises business solutions for financial management, enterprise resource planning (“ERP”), customer relationship management (“CRM”), and supply chain management, as well as agentic AI and other low code application development platforms, for small and medium businesses, large organizations, and divisions of global enterprises. Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,Google Cloud,Google Cloud,"We report our segment results as Google Services, Google Cloud, and Other Bets.","We report our segment results as Google Services, Google Cloud, and Other Bets. Additionally, certain costs are not allocated to our segments because they represent Alphabet-level activities.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Other Bets,Other Bets,"We report our segment results as Google Services, Google Cloud, and Other Bets.","We report our segment results as Google Services, Google Cloud, and Other Bets. The following table presents segment operating income (loss) (in millions), including a line for Other Bets, which is reported separately from the other segments.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
