Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
AMAZON COM INC,AMZN,AWS,"The AWS segment consists of Amazon Web Services, which provides a broad set of cloud computing services to businesses, government agencies, and academic institutions. This segment generates revenue primarily from the sale of compute, storage, database, and other cloud-based services.",AWS,Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Advertising services,"The Advertising services segment includes sales of advertising to sellers, vendors, publishers, authors, and others through programs such as sponsored ads, display, and video advertising. This segment enables businesses to promote their products and brands on Amazon’s platforms.",Advertising services (4),Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Online stores,The Online stores segment includes product sales and digital media content sold through online retail websites. This segment represents revenue from direct sales of goods and digital content to customers via Amazon’s online platforms.,Online stores (1),Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Physical stores,The Physical stores segment consists of product sales where customers physically select items in a store. This includes revenue from Amazon’s brick-and-mortar retail locations.,Physical stores (2),Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Subscription services,"The Subscription services segment includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services. This segment generates recurring revenue from a variety of digital and membership offerings.",Subscription services (5),Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
AMAZON COM INC,AMZN,Third-party seller services,"The Third-party seller services segment includes commissions and any related fulfillment and shipping fees, and other third-party seller services. This segment enables independent sellers to offer products for sale on Amazon’s online stores.",Third-party seller services (3),Net sales by groups of similar products and services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps,"The Family of Apps segment primarily generates revenue from selling advertising placements on Meta's suite of applications. This segment enables marketers to reach people across a range of marketing objectives, such as generating leads or driving awareness, through ads on Meta's platforms. The segment also includes other revenue generated from these applications.",Advertising; Other revenue; Family of Apps,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Family of Apps (FoA),"Family of Apps (FoA) encompasses Meta's core social and communication platforms, with revenue mainly derived from advertising placements sold to marketers. The segment also includes other revenue streams associated with these applications, reflecting the company's focus on connecting people and enabling content creation and communication.",Advertising; Other revenue; Family of Apps,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
"Meta Platforms, Inc.",META,Reality Labs,"Reality Labs (RL) is a segment focused on developing technologies and products that help people learn, get things done, create content, and connect with others. This segment is distinct from the Family of Apps and is reported separately, with its own revenue line item reflecting its contributions to Meta's overall business.",Reality Labs,text_snippet,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm
NVIDIA CORP,NVDA,Automotive,"The Automotive segment leverages NVIDIA's GPU-powered AI solutions to enable advanced computing capabilities in vehicles, including self-driving technology and intelligent in-car systems. This segment addresses the automotive industry's need for AI model training, inference, and data analytics, supporting the development of autonomous vehicles and related applications. NVIDIA's unified architecture and platform strategy allow for the integration of hardware, software, and services tailored to automotive use cases.",Automotive,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Compute & Networking,"The Compute & Networking segment provides data-center-scale solutions, including compute and networking products, that support AI model training, inference, data analytics, and scientific computing. These offerings are designed to scale across large server infrastructures, enabling the development and deployment of modern AI applications for a variety of industries. The segment includes both compute and networking revenue items, reflecting NVIDIA's focus on high-performance, interconnected computing environments.",Compute; Networking,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,Graphics,"The Graphics segment focuses on delivering GPU technology for 3D graphics, gaming, and professional visualization applications. Initially driving the growth of the PC gaming market and computer graphics, NVIDIA's GPUs now also support a wide range of visual computing needs, including content creation and simulation. This segment includes revenue from gaming and professional visualization products.",Gaming; Professional Visualization,text_snippet,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
NVIDIA CORP,NVDA,OEM and Other,The OEM and Other segment includes revenue from original equipment manufacturer (OEM) relationships and other miscellaneous sources not classified under the main business segments. This segment captures sales of products and services to third-party manufacturers and partners.,OEM and Other,revenue_items_from_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
